"","x"
"X1698",1
"X1699",1
"X1700",1
"X1701",2
"X1702",2
"X1703",1
"X1704",1
"X1705",2
"X1706",2
"X1707",2
"X1708",2
"X1709",1
"X1710",1
"X1711",2
"X1712",2
"X1713",2
"X1714",2
"X1715",2
"X1716",1
"X1717",1
"X1718",1
"X1719",1
"X1720",2
"X1721",2
"X1722",2
"X1723",1
"X1724",1
"X1725",2
"X1726",1
"X1727",1
"X1728",2
"X1729",2
"X1730",2
"X1731",1
"X1732",1
"X1733",2
"X1734",2
"X1735",2
"X1736",2
"X1737",2
"X1738",3
"X1739",3
"X1740",2
"X1741",2
"X1742",2
"X1743",2
"X1744",2
"X1745",1
"X1746",1
"X1747",3
"X1748",3
"X1749",2
"X1750",2
"X1751",3
"X1752",3
"X1753",3
"X1754",3
"X1755",3
"X1756",3
"X1757",3
"X1758",1
"X1759",1
"X1760",1
"X1761",2
"X1762",2
"X1763",2
"X1764",2
"X1765",1
"X1766",1
"X1767",1
"X1768",2
"X1769",2
"X1770",2
"X1771",3
"X1772",1
"X1773",1
"X1774",1
"X1775",1
"X1776",1
"X1777",2
"X1778",3
"X1779",1
"X1780",2
"X1781",2
"X1782",2
"X1783",2
"X1784",1
"X1785",3
"X1786",1
"X1787",2
"X1788",2
"X1789",2
"X1790",2
"X1791",1
"X1792",3
"X1793",1
"X1794",1
"X1795",2
"X1796",2
"X1797",2
"X1798",2
"X1799",1
"X1800",1
"X1801",2
"X1802",2
"X1803",1
"X1804",1
"X1805",1
"X1806",1
"X1807",2
"X1808",1
"X1809",2
"X1810",1
"X1811",1
"X1812",1
"X1813",1
"X1814",1
"X1815",2
"X1816",2
"X1817",3
"X1818",3
"X1819",1
"X1820",1
"X1821",2
"X1822",1
"X1823",2
"X1824",1
"X1825",1
"X1826",1
"X1827",1
"X1828",1
"X1829",1
"X1830",1
"X1831",1
"X1832",1
"X1833",1
"X1834",1
"X1835",1
"X1836",1
"X1837",2
"X1838",1
"X1839",2
"X1840",2
"X1841",1
"X1842",2
"X1843",3
"X1844",1
"X1845",1
"X1846",1
"X1847",1
"X1848",2
"X1849",2
"X1850",1
"X1851",1
"X1852",2
"X1853",2
"X1854",2
"X1855",2
"X1856",1
"X1857",1
"X1858",2
"X1859",2
"X1860",2
"X1861",2
"X1862",1
"X1863",2
"X1864",2
"X1865",2
"X1866",2
"X1867",2
"X1868",1
"X1869",1
"X1870",2
"X1871",2
"X1872",3
"X1873",1
"X1874",1
"X1875",1
"X1876",3
"X1877",3
"X1878",2
"X1879",3
"X1880",3
"X1881",2
"X1882",3
"X1883",3
"X1884",3
"X1885",3
"X1886",3
"X1887",3
"X1888",1
"X1889",2
"X1890",1
"X1891",1
"X1892",2
"X1893",3
"X1894",2
"X1895",2
"X1896",3
"X1897",3
"X1898",3
"X1899",1
"X1900",1
"X1901",1
"X1902",1
"X1903",1
"X1904",1
"X1905",1
"X1906",2
"X1907",3
"X1908",2
"X1909",1
"X1910",2
"X1911",3
"X1912",3
"X1913",1
"X1914",2
"X1915",2
"X1916",2
"X1917",2
"X1918",2
"X1919",2
"X1920",2
"X1921",2
"X1922",2
"X1923",2
"X1924",2
"X1925",2
"X1926",2
"X1927",2
"X1928",1
"X1929",2
